folder,file,instrument,level,lot,inkludert,ekskludert,mean_beregnet,mean_angitt,sd_beregnet,sd_angitt,cv_beregnet,cv_angitt,zstat,sd_ratio
Basophil,April 2026.xlsx,XR1,L1,60751101,23,0.0,0.153,0.15,0.006,0.008,3.65,5.33,1.825,1.3333333333333333
Basophil,April 2026.xlsx,XR2,L1,60751101,22,0.0,0.15,0.15,0.007,0.008,4.8,5.33,0.267,1.1428571428571428
Basophil,April 2026.xlsx,XR3,L1,60751101,22,0.0,0.149,0.15,0.005,0.008,3.53,5.33,-0.533,1.6
Basophil,April 2026.xlsx,XR1,L1,60191101,41,0.0,0.153,0.15,0.007,0.008,4.4,5.33,2.147,1.1428571428571428
Basophil,April 2026.xlsx,XR2,L1,60191101,38,0.0,0.149,0.15,0.005,0.008,3.46,5.33,-0.406,1.6
Basophil,April 2026.xlsx,XR3,L1,60191101,38,0.0,0.148,0.15,0.006,0.008,4.3,5.33,-1.217,1.3333333333333333
Basophil,April 2026.xlsx,XR1,L2,60751102,35,0.0,0.348,0.34,0.013,0.014,3.61,4.12,3.381,1.076923076923077
Basophil,April 2026.xlsx,XR2,L2,60751102,34,0.0,0.338,0.34,0.011,0.014,3.21,4.12,-0.735,1.272727272727273
Basophil,April 2026.xlsx,XR3,L2,60751102,32,0.0,0.339,0.34,0.01,0.014,3.08,4.12,-0.253,1.4
Basophil,April 2026.xlsx,XR1,L2,60191102,57,0.0,0.337,0.33,0.011,0.014,3.12,4.24,3.784,1.272727272727273
Basophil,April 2026.xlsx,XR2,L2,60191102,56,0.0,0.327,0.33,0.01,0.014,3.14,4.24,-1.623,1.4
Basophil,April 2026.xlsx,XR3,L2,60191102,55,0.0,0.328,0.33,0.008,0.014,2.58,4.24,-1.059,1.75
Basophil,April 2026.xlsx,XR1,L3,60751103,22,0.0,0.823,0.81,0.027,0.04,3.25,4.94,1.492,1.4814814814814816
Basophil,April 2026.xlsx,XR2,L3,60751103,22,0.0,0.797,0.81,0.026,0.04,3.27,4.94,-1.492,1.5384615384615385
Basophil,April 2026.xlsx,XR3,L3,60751103,21,0.0,0.796,0.81,0.017,0.04,2.16,4.94,-1.582,2.3529411764705883
Basophil,April 2026.xlsx,XR1,L3,60191103,38,0.0,0.798,0.78,0.024,0.04,3.04,5.13,2.798,1.6666666666666667
Basophil,April 2026.xlsx,XR2,L3,60191103,38,0.0,0.783,0.78,0.023,0.04,2.9,5.13,0.487,1.7391304347826089
Basophil,April 2026.xlsx,XR3,L3,60191103,42,0.0,0.789,0.78,0.019,0.04,2.43,5.13,1.389,2.1052631578947367
Basophil,April 2026.xlsx,XR3,L3,60191103,636,0.0,0.414,0.412,0.255,0.02,61.55,4.77,2.591,0.0784313725490196
Basophil,February 2026.xlsx,XR1,L1,60191101,12,0.0,0.149,0.15,0.005,0.008,3.45,5.33,-0.361,1.6
Basophil,February 2026.xlsx,XR2,L1,60191101,14,0.0,0.149,0.15,0.008,0.008,5.18,5.33,-0.668,1.0
Basophil,February 2026.xlsx,XR3,L1,60191101,14,0.0,0.149,0.15,0.005,0.008,3.18,5.33,-0.334,1.6
Basophil,February 2026.xlsx,XR1,L1,53281101,24,0.0,0.147,0.15,0.008,0.008,5.19,5.33,-2.041,1.0
Basophil,February 2026.xlsx,XR2,L1,53281101,25,0.0,0.147,0.15,0.007,0.008,4.61,5.33,-1.75,1.1428571428571428
Basophil,February 2026.xlsx,XR3,L1,53281101,27,0.0,0.144,0.15,0.006,0.008,4.43,5.33,-3.608,1.3333333333333333
Basophil,February 2026.xlsx,XR1,L2,60191102,19,0.0,0.327,0.33,0.007,0.014,2.24,4.24,-0.819,2.0
Basophil,February 2026.xlsx,XR2,L2,60191102,20,0.0,0.329,0.33,0.01,0.014,2.94,4.24,-0.319,1.4
Basophil,February 2026.xlsx,XR3,L2,60191102,19,0.0,0.327,0.33,0.009,0.014,2.89,4.24,-0.983,1.5555555555555558
Basophil,February 2026.xlsx,XR1,L2,53281102,65,0.0,0.336,0.34,0.011,0.014,3.4,4.12,-2.215,1.272727272727273
Basophil,February 2026.xlsx,XR2,L2,53281102,65,0.0,0.336,0.34,0.009,0.014,2.54,4.12,-2.038,1.5555555555555558
