analyte,level,instrument,cv,n,target,maxdev,bias
Basophils abs.,L1,XR2,4.48,381.0,0.149895,0.2618995680692491,1.173
Basophils abs.,L2,XR1,3.42,639.0,0.334817,0.2725688420224477,0.931
Basophils abs.,L3,XR1,3.04,374.0,0.801516,0.24934468483770983,0.758
Eosinophils abs.,L1,XR3,6.71,381.0,0.318988,0.30238718936772574,2.028
Eosinophils abs.,L2,XR3,6.71,635.0,0.7709,0.14499227639972848,0.973
Eosinophils abs.,L3,XR3,6.92,378.0,1.9763,0.15252154470326754,1.056
Erythrocytes,L1,XR2,1.08,385.0,2.64227,0.07768485892374928,0.084
Erythrocytes,L2,XR3,0.77,635.0,4.31013,0.6709017833418949,0.515
Erythrocytes,L3,XR3,0.73,377.0,5.11445,1.103994255934022,0.803
Hematocrit,L1,XR2,1.6,385.0,0.189974,0.294994390362034,0.473
Hematocrit,L2,XR3,1.13,635.0,0.352473,0.6620175263855146,0.75
Hematocrit,L3,XR3,1.11,377.0,0.448842,0.8816213106753631,0.977
Hemoglobin,L1,XR2,1.04,382.0,6.26412,0.6426212169006259,0.667
Hemoglobin,L2,XR3,0.7,635.0,11.8806,0.25273410832733545,0.176
Hemoglobin,L3,XR3,0.65,378.0,15.3939,0.16828774920071432,0.109
Leukocytes,L1,XR1,2.38,384.0,3.13204,0.6860261895450986,1.634
Leukocytes,L2,XR1,1.89,640.0,6.96745,0.5618358155579536,1.059
Leukocytes,L3,XR1,1.75,374.0,16.6479,0.6005252255277694,1.052
Lymphocytes abs.,L1,XR1,3.51,384.0,1.14025,0.4874633441130617,1.709
Lymphocytes abs.,L2,XR1,2.74,640.0,2.17347,0.3931162894828507,1.079
Lymphocytes abs.,L3,XR1,2.14,374.0,4.21725,0.5032569500874601,1.075
MCH,L1,XR2,1.05,385.0,23.7183,0.7176820313365156,0.752
MCH,L2,XR2,0.88,636.0,27.5697,0.7891331393838867,0.697
MCH,L3,XR2,0.75,364.0,30.1053,0.9925781551817943,0.748
MCHC,L1,XR1,1.41,386.0,32.9842,0.8089747483608546,1.14
MCHC,L2,XR2,1.13,636.0,33.7052,0.8225428730135893,0.931
MCHC,L3,XR3,1.04,377.0,34.304,0.8774648098082478,0.914
MCV,L1,XR2,1.07,386.0,71.8942,0.36350572822848576,0.388
MCV,L2,XR2,0.83,636.0,81.7844,0.34911839653281507,0.29
MCV,L3,XR2,0.81,364.0,87.7626,0.2092870442491422,0.17
MPV,L1,XR3,2.42,381.0,8.57751,0.3638036816810741,0.88
MPV,L2,XR3,1.63,635.0,9.49524,0.6826035096760714,1.111
MPV,L3,XR2,1.25,364.0,9.23973,0.8812577209576381,1.097
Monocytes abs.,L1,XR3,8.16,381.0,0.232183,0.23906092973955373,1.95
Monocytes abs.,L2,XR1,7.43,640.0,0.521094,0.1610872961049591,1.196
Monocytes abs.,L3,XR3,5.71,378.0,1.41584,0.2627366741164293,1.5
Neutrophils abs.,L1,XR1,3.4,383.0,1.29079,0.46354866844656906,1.577
Neutrophils abs.,L2,XR1,2.74,639.0,3.16704,0.3876671473229332,1.06
Neutrophils abs.,L3,XR1,2.49,374.0,8.23749,0.3944604157372876,0.984
Platelets,L1,XR2,4.24,385.0,89.9939,0.08285852427660374,0.351
Platelets,L2,XR3,2.47,635.0,242.149,0.09586902807414352,0.237
Platelets,L3,XR3,1.56,378.0,545.625,0.3586337553876453,0.558
Platelets fluorescent,L1,XR3,2.29,381.0,80.1841,0.4598309163341796,1.051
Platelets fluorescent,L2,XR3,3.49,635.0,271.758,0.300412176622998,1.049
Platelets fluorescent,L3,XR3,1.94,378.0,549.559,0.252353539297659,0.489
RDW-CV,L1,XR3,0.94,381.0,19.0244,0.23074775775747675,0.217
RDW-CV,L2,XR2,0.72,635.0,16.8876,0.34952643782782855,0.253
RDW-CV,L3,XR3,0.65,374.0,15.3256,0.3998462930158262,0.26
Reticulocyte hemoglobin,L1,XR2,1.1,383.0,24.0313,0.018935003513690134,0.021
Reticulocyte hemoglobin,L2,XR2,1.15,636.0,24.7997,0.05022995535071061,0.058
Reticulocyte hemoglobin,L3,XR3,1.45,376.0,25.6616,0.4576756536644333,0.666
Reticulocytes,L1,XR3,3.51,381.0,0.138841,0.3840311955116684,1.346
Reticulocytes,L2,XR2,3.43,636.0,0.0973202,0.18250910868128886,0.627
Reticulocytes,L3,XR3,4.76,377.0,0.054143,0.5996863208844148,2.856
