analyte,level,lot,instrument,result
Leukocytes,L1,53281101,XR1,3.05
Leukocytes,L1,53281101,XR1,3.08
Leukocytes,L1,53281101,XR1,3.07
Leukocytes,L1,53281101,XR1,3.09
Leukocytes,L1,53281101,XR1,3.03
Leukocytes,L1,53281101,XR1,3.1
Leukocytes,L1,53281101,XR1,3.05
Leukocytes,L1,53281101,XR1,3.1
Leukocytes,L1,53281101,XR1,2.96
Leukocytes,L1,53281101,XR1,3.07
Leukocytes,L1,53281101,XR1,3.02
Leukocytes,L1,53281101,XR1,3.07
Leukocytes,L1,53281101,XR1,3.15
Leukocytes,L1,53281101,XR1,3.11
Leukocytes,L1,53281101,XR1,3.11
Leukocytes,L1,53281101,XR1,3.04
Leukocytes,L1,53281101,XR1,3.18
Leukocytes,L1,53281101,XR1,3.1
Leukocytes,L1,53281101,XR1,3.15
Leukocytes,L1,53281101,XR1,3.08
Leukocytes,L1,53281101,XR1,3.1
Leukocytes,L1,53281101,XR1,3.16
Leukocytes,L1,53281101,XR1,3.03
Leukocytes,L1,53281101,XR1,3.07
Leukocytes,L1,53281101,XR1,3.04
Leukocytes,L1,53281101,XR1,3.0
Leukocytes,L1,53281101,XR1,2.97
Leukocytes,L1,53281101,XR1,3.29
Leukocytes,L1,53281101,XR1,2.92
Leukocytes,L1,53281101,XR1,3.11
Leukocytes,L1,53281101,XR1,3.0
Leukocytes,L1,53281101,XR1,3.05
Leukocytes,L1,53281101,XR1,3.1
Leukocytes,L1,53281101,XR1,3.15
Leukocytes,L1,53281101,XR1,2.85
Leukocytes,L1,53281101,XR1,3.15
Leukocytes,L1,53281101,XR1,3.05
Leukocytes,L1,53281101,XR1,3.05
Leukocytes,L1,53281101,XR1,3.14
Leukocytes,L1,53281101,XR1,3.0
Leukocytes,L1,53281101,XR1,3.12
Leukocytes,L1,53281101,XR1,2.99
Leukocytes,L1,53281101,XR1,3.03
Leukocytes,L1,53281101,XR1,3.1
Leukocytes,L1,53281101,XR1,3.06
Leukocytes,L1,53281101,XR1,3.09
Leukocytes,L1,53281101,XR1,3.09
Leukocytes,L1,53281101,XR1,3.13
Leukocytes,L1,53281101,XR1,3.07
Leukocytes,L1,53281101,XR1,3.13
Leukocytes,L1,53281101,XR1,3.13
Leukocytes,L1,53281101,XR1,3.09
Leukocytes,L1,53281101,XR1,3.13
Leukocytes,L1,53281101,XR1,3.02
Leukocytes,L1,53281101,XR1,3.05
Leukocytes,L1,60191101,XR1,3.17
Leukocytes,L1,60191101,XR1,3.14
Leukocytes,L1,60191101,XR1,3.14
Leukocytes,L1,60191101,XR1,3.15
Leukocytes,L1,60191101,XR1,3.12
Leukocytes,L1,60191101,XR1,3.12
Leukocytes,L1,60191101,XR1,3.14
Leukocytes,L1,60191101,XR1,3.19
Leukocytes,L1,60191101,XR1,3.24
Leukocytes,L1,60191101,XR1,3.26
Leukocytes,L1,60191101,XR1,3.2
Leukocytes,L1,60191101,XR1,3.13
Leukocytes,L1,60191101,XR1,3.2
Leukocytes,L1,60191101,XR1,3.18
Leukocytes,L1,60191101,XR1,3.09
Leukocytes,L1,60191101,XR1,3.18
Leukocytes,L1,60191101,XR1,2.98
Leukocytes,L1,60191101,XR1,3.19
Leukocytes,L1,60191101,XR1,3.17
Leukocytes,L1,60191101,XR1,3.31
Leukocytes,L1,60191101,XR1,3.31
Leukocytes,L1,60191101,XR1,3.25
Leukocytes,L1,60191101,XR1,3.14
Leukocytes,L1,60191101,XR1,3.25
Leukocytes,L1,60191101,XR1,3.11
Leukocytes,L1,60191101,XR1,3.14
Leukocytes,L1,60191101,XR1,3.21
Leukocytes,L1,60191101,XR1,3.18
Leukocytes,L1,60191101,XR1,3.19
Leukocytes,L1,60191101,XR1,3.11
Leukocytes,L1,60191101,XR1,3.09
Leukocytes,L1,60191101,XR1,3.07
Leukocytes,L1,60191101,XR1,3.09
Leukocytes,L1,60191101,XR1,3.11
Leukocytes,L1,60191101,XR1,3.16
Leukocytes,L1,60191101,XR1,3.08
Leukocytes,L1,60191101,XR1,3.0
Leukocytes,L1,60191101,XR1,3.14
Leukocytes,L1,60191101,XR1,3.21
Leukocytes,L1,60191101,XR1,3.27
Leukocytes,L1,60191101,XR1,3.13
Leukocytes,L1,60191101,XR1,3.09
Leukocytes,L1,60191101,XR1,3.15
Leukocytes,L1,60191101,XR1,3.27
Leukocytes,L1,60191101,XR1,3.09
Leukocytes,L1,60191101,XR1,3.11
Leukocytes,L1,60191101,XR1,3.22
Leukocytes,L1,60191101,XR1,3.09
Leukocytes,L1,60191101,XR1,3.22
Leukocytes,L1,60191101,XR1,3.28
Leukocytes,L1,60191101,XR1,3.16
Leukocytes,L1,60191101,XR1,3.2
Leukocytes,L1,60191101,XR1,3.18
Leukocytes,L1,60191101,XR1,3.28
Leukocytes,L1,60191101,XR1,3.17
Leukocytes,L1,60191101,XR1,3.34
Leukocytes,L1,60191101,XR1,3.36
Leukocytes,L1,60191101,XR1,3.14
Leukocytes,L1,60191101,XR1,3.31
Leukocytes,L1,60191101,XR1,3.14
Leukocytes,L1,60191101,XR1,3.14
Leukocytes,L1,60191101,XR1,3.18
Leukocytes,L1,60191101,XR1,3.29
Leukocytes,L1,60191101,XR1,3.34
Leukocytes,L1,60191101,XR1,3.27
Leukocytes,L1,60191101,XR1,3.22
Leukocytes,L1,60191101,XR1,3.24
Leukocytes,L1,60191101,XR1,3.26
Leukocytes,L1,60191101,XR1,3.27
Leukocytes,L1,60191101,XR1,3.21
Leukocytes,L1,60191101,XR1,3.2
Leukocytes,L1,60191101,XR1,3.23
Leukocytes,L1,60191101,XR1,3.11
Leukocytes,L1,60191101,XR1,3.21
Leukocytes,L1,60191101,XR1,3.24
Leukocytes,L1,60191101,XR1,3.26
Leukocytes,L1,60191101,XR1,3.21
Leukocytes,L1,60191101,XR1,3.2
Leukocytes,L1,60191101,XR1,3.27
Leukocytes,L1,60191101,XR1,3.2
Leukocytes,L1,60191101,XR1,3.11
Leukocytes,L1,60191101,XR1,3.17
Leukocytes,L1,60191101,XR1,3.27
Leukocytes,L1,60191101,XR1,3.23
Leukocytes,L1,60191101,XR1,3.26
Leukocytes,L1,60191101,XR1,3.22
Leukocytes,L1,60191101,XR1,3.24
Leukocytes,L1,60191101,XR1,3.27
Leukocytes,L1,60191101,XR1,3.2
Leukocytes,L1,60191101,XR1,3.29
Leukocytes,L1,60191101,XR1,3.27
Leukocytes,L1,60191101,XR1,3.24
Leukocytes,L1,60191101,XR1,3.18
Leukocytes,L1,60191101,XR1,3.31
Leukocytes,L1,60191101,XR1,3.21
Leukocytes,L1,60191101,XR1,3.39
Leukocytes,L1,60191101,XR1,3.15
Leukocytes,L1,60191101,XR1,3.31
Leukocytes,L1,60191101,XR1,3.18
