analyte,level,cv_calc,cv_user,diff,instrument,n,mean
Basophil,L1,4.48,4.47,0.01,XR2,381,0.1496
Basophil,L2,3.416,3.43,-0.014,XR1,639,0.3379
Basophil,L3,3.041,3.04,0.001,XR1,374,0.8076
Hb,L1,1.037,1.04,-0.003,XR2,382,6.288
Hb,L2,0.697,0.7,-0.003,XR3,635,11.8597
Hb,L3,0.649,0.65,-0.001,XR3,378,15.4029
Htc,L1,1.603,1.6,0.003,XR2,385,0.1894
Htc,L2,1.132,1.13,0.002,XR3,635,0.3551
Htc,L3,1.108,1.12,-0.012,XR3,377,0.4532
Lymph,L1,3.506,3.66,-0.154,XR1,384,1.1597
Lymph,L2,2.745,2.67,0.075,XR1,640,2.1969
Lymph,L3,2.136,1.91,0.226,XR1,374,4.2626
MCH,L1,1.048,1.05,-0.002,XR2,385,23.8161
MCH,L2,0.883,0.88,0.003,XR2,636,27.6601
MCH,L3,0.754,0.75,0.004,XR2,364,30.2909
MCHC,L1,1.409,1.41,-0.001,XR1,386,33.1402
MCHC,L2,1.132,1.13,0.002,XR2,636,33.9157
MCHC,L3,1.042,1.04,0.002,XR3,377,33.9905
MCV,L1,1.068,1.07,-0.002,XR2,386,71.7342
MCV,L2,0.831,0.83,0.001,XR2,636,81.5472
MCV,L3,0.811,0.81,0.001,XR2,364,87.6827
MPV,L1,2.419,2.41,0.009,XR3,381,8.5331
MPV,L2,1.628,1.63,-0.002,XR3,635,9.4542
MPV,L3,1.245,1.25,-0.005,XR2,364,9.181
Mono,L1,8.156,8.16,-0.004,XR3,381,0.2281
Mono,L2,7.427,7.43,-0.003,XR1,640,0.5273
Mono,L3,5.711,5.71,0.001,XR3,378,1.4001
NRBC#,L1,9.646,9.65,-0.004,XR1,383,0.1503
NRBC#,L2,5.424,5.42,0.004,XR2,636,0.4347
NRBC#,L3,3.644,3.64,0.004,XR1,374,1.1059
Neutrophil,L1,3.402,3.4,0.002,XR1,383,1.3111
Neutrophil,L2,2.735,2.77,-0.035,XR1,639,3.2006
Neutrophil,L3,2.495,2.49,0.005,XR1,374,8.3186
PLT,L1,4.237,4.23,0.007,XR2,385,90.1636
PLT,L2,2.473,2.47,0.003,XR3,635,242.6173
PLT,L3,1.556,1.56,-0.004,XR3,378,548.6693
PLT-F,L1,2.286,2.28,0.006,XR3,381,79.3412
PLT-F,L2,3.49,3.49,0.0,XR3,635,274.6079
PLT-F,L3,1.938,1.94,-0.002,XR3,378,546.9709
RBC,L1,1.075,1.08,-0.005,XR2,385,2.6408
RBC,L2,0.768,0.77,-0.002,XR3,635,4.3323
RBC,L3,0.727,0.73,-0.003,XR3,377,5.1555
RDW,L1,0.941,0.95,-0.009,XR3,381,0.1906
RDW,L2,0.724,0.72,0.004,XR2,635,0.1684
RDW,L3,0.651,0.65,0.001,XR3,374,0.1537
Ret-He,L1,1.101,1.11,-0.009,XR2,383,24.0363
Ret-He,L2,1.15,1.15,0.0,XR2,636,24.7854
Ret-He,L3,1.454,1.46,-0.006,XR3,376,25.4963
Retikulosit,L1,3.506,3.5,0.006,XR3,381,0.137
Retikulosit,L2,3.434,3.43,0.004,XR2,636,0.0979
Retikulosit,L3,4.763,4.76,0.003,XR3,377,0.0526
WBC,L1,2.381,2.38,0.001,XR1,384,3.1832
WBC,L2,1.885,1.91,-0.025,XR1,640,7.0412
WBC,L3,1.751,1.75,0.001,XR1,374,16.823
eos,L1,6.706,6.69,0.016,XR3,381,0.3125
eos,L2,6.709,6.71,-0.001,XR3,635,0.7634
eos,L3,6.923,6.92,0.003,XR3,378,1.959
