Analyte,TEa %,Adopted source,K L1,K L2,K L3,n L1,n L2,n L3,Sigma,Pfr %,Ped %,Ped requirement
Leukocytes,10.0,Noklus,4.0,3.0,3.0,2,3,2,4.2,1.36,100.0,90
Erythrocytes,4.0,CLIA 2025,3.3,3.5,3.8,2,3,2,3.7,0.36,97.9,90
Hemoglobin,3.9,BV EFLM (desirable),3.7,3.0,3.0,2,3,2,3.75,1.39,100.0,90
Hematocrit,5.0,Rili-BAEK,3.0,3.5,3.0,2,3,2,3.12,1.21,87.7,
MCV,3.63,BV Ricos (minimum),4.1,3.3,4.1,2,3,2,3.39,0.31,70.4,70
MCH,3.75,BV Ricos (minimum),3.0,3.3,3.0,2,3,2,3.57,1.36,95.9,
MCHC,10.0,Noklus,3.0,3.3,3.0,2,3,2,7.09,1.36,100.0,
RDW-CV,4.05,BV EFLM (minimum),4.0,4.0,4.0,2,3,2,4.31,0.04,99.1,
Platelets,13.44,BV Ricos (desirable),4.0,4.5,4.5,2,3,2,3.17,0.02,100.0,90
Platelets fluorescent,11.02,BV EFLM (desirable),2.7,5.0,6.0,2,3,2,3.16,1.38,90.1,90
MPV,8.76,BV Ricos (minimum),3.5,3.0,3.0,2,2,2,3.62,1.17,100.0,
Neutrophils abs.,11.68,BV Ricos (optimal),3.4,3.4,4.0,2,3,2,3.43,0.35,70.0,70
Lymphocytes abs.,14.94,BV EFLM (desirable),3.5,3.5,3.5,2,3,2,4.26,0.33,100.0,
Monocytes abs.,27.42,BV EFLM (minimum),4.0,4.0,4.2,2,3,2,3.36,0.04,34.1,
Eosinophils abs.,29.73,BV EFLM (desirable),3.5,3.5,3.5,2,3,2,4.3,0.33,83.2,
Basophils abs.,18.21,BV EFLM (desirable),3.5,3.5,4.5,2,3,2,4.06,0.23,98.1,
Reticulocytes,15.2,BV EFLM (desirable),3.4,3.3,3.5,2,3,2,3.19,0.52,81.1,70
Reticulocyte hemoglobin,10.0,Noklus,5.0,5.0,5.0,2,3,2,6.9,0.0,100.0,
