Analyte,B_event,C_event,D_event,B_meas,C_meas,D_meas
Basophils abs.,0.11,0.11,0.16,0.05,0.05,0.1
Eosinophils abs.,0.0,0.0,0.0,0.0,0.0,0.0
Erythrocytes,1.38,0.95,0.42,0.62,0.43,0.19
Hematocrit,2.59,1.22,0.58,1.41,0.6,0.29
Hemoglobin,1.75,1.22,0.85,0.79,0.55,0.38
Leukocytes,1.38,1.59,1.01,0.84,0.93,0.74
Lymphocytes abs.,0.37,0.26,0.32,0.24,0.12,0.19
MCH,4.02,2.17,0.37,1.87,1.01,0.17
MCHC,8.2,1.43,0.48,4.04,0.65,0.26
MCV,1.85,0.11,0.11,0.86,0.05,0.05
MPV,5.98,1.43,0.95,2.9,0.65,0.46
Monocytes abs.,2.17,0.0,0.0,0.98,0.0,0.0
Neutrophils abs.,0.42,0.26,0.16,0.22,0.14,0.1
Platelets,0.26,0.05,0.05,0.12,0.02,0.02
Platelets fluorescent,9.1,0.63,0.63,4.21,0.29,0.29
RDW-CV,2.59,0.0,0.05,1.18,0.0,0.02
Reticulocyte hemoglobin,0.08,0.0,0.0,0.04,0.0,0.0
Reticulocytes,3.32,0.55,0.16,1.51,0.25,0.07
