analyte,n_sources,tea_lo,tea_hi,sigma_lo,sigma_hi,fold,src_lo,src_hi
MCHC,7,0.6275581316760657,10.0,0.44507668913196147,7.092198581560284,15.934778780241864,EFLM optimal,Noklus
MCV,7,0.8399019513592785,10.0,0.7849550947282976,9.345794392523365,11.906151645220284,EFLM optimal,Noklus
MCH,7,0.9259498720530108,10.0,0.8818570210028674,9.523809523809524,10.799720699596898,EFLM optimal,Noklus
Ret-He,4,1.1764144452187053,10.0,0.8057633186429488,6.8493150684931505,8.500405652653233,EFLM optimal,Noklus
RDW-CV,7,1.349565123994497,10.0,1.4205948673626285,10.526315789473685,7.40979432722861,EFLM optimal,Noklus
"Basophils, abs.",6,9.104064987300223,57.72709903779068,2.0367035765772314,12.914339829483374,6.3408048073379835,EFLM optimal,Westgard minimum
MPV,6,1.8816554078522643,8.760226955433112,0.7807698787768731,3.6349489441631166,4.655595768957559,EFLM optimal,Westgard minimum
"Monocytes, abs.",6,9.140728004459064,41.85957629069634,1.1201872554484147,5.1298500356245516,4.579457595749075,EFLM optimal,Westgard minimum
Platelets,8,5.508905150336011,25.0,1.3023416431054398,5.910165484633569,4.538106813923842,EFLM optimal,CLIA 2025
"Neutrophils, abs.",6,8.75108135904871,35.03244880363626,2.5738474585437383,10.303661412834193,4.003213701974366,EFLM optimal,Westgard minimum
"Eosinophils, abs.",6,14.862595102270484,55.70009202762357,2.147773858709608,8.049146246766412,3.7476693433648434,EFLM optimal,Westgard minimum
"Platelets, fluorescent",6,5.508905150336011,20.154523441202624,1.5784828510991433,5.774935083439147,3.658535206396378,EFLM optimal,Westgard minimum
Leukocytes,9,6.5,23.16706849137971,2.73109243697479,9.734062391336012,3.564164383289186,RiliBAEK,Westgard minimum
"Lymphocytes, abs.",6,7.468949196863842,26.40154319065732,2.127905754092263,7.521807176825448,3.5348403764405223,EFLM optimal,Westgard minimum
"Reticulocytes, abs.",6,7.5992094911560635,25.243546814453115,1.5964725821756436,5.303266137490151,3.321864839208799,EFLM optimal,Westgard minimum
Erythrocytes,8,2.0059077351297234,6.609793624039426,1.857321976971966,6.120179281517987,3.2951633359208152,EFLM optimal,Westgard minimum
Hemoglobin,8,1.947604004007896,6.291784865167398,1.8726961576999,6.049793139584036,3.23052573943152,EFLM optimal,Westgard minimum
Hematocrit,8,1.9264637062104735,5.949538770918588,1.2040398163815458,3.7184617318241173,3.088321234258736,EFLM optimal,Westgard minimum
